ID,Phase,Category,Task,Description,Dependencies,Priority,Type,Module/File,Acceptance Criteria
P0-001,0,Infrastructure,Project scaffold,Create rebar3 umbrella project with apps/cli_proxy and apps/clips_port directories,-,P0,impl,rebar.config,"rebar3 compile passes, directory structure matches DESIGN.md"
P0-002,0,Infrastructure,Dependencies,Add deps: cowboy jiffy gun hackney proper recon fs,-,P0,impl,rebar.config,All deps resolve and compile
P0-003,0,Infrastructure,Config records,Define config_types.hrl with all record definitions from Configuration section,P0-001,P0,impl,src/config/config_types.hrl,Records match DESIGN.md Configuration section
P0-004,0,Infrastructure,Test fixtures,Create test/fixtures/ directory with sentinel JSONs and sample request/response payloads,P0-001,P0,impl,test/fixtures/,All fixture files present per DESIGN.md test fixtures structure
P0-005,0,Infrastructure,CI pipeline,Create GitHub Actions workflow with compile/eunit/ct/proper/cover/dialyzer steps,P0-001,P0,impl,.github/workflows/test.yml,CI green on empty project
P0-006,0,Infrastructure,Docker build,Create multi-stage Dockerfile (erlang:27-alpine builder + alpine runtime),P0-001,P2,impl,Dockerfile,docker build completes successfully
P0-007,0,Infrastructure,vm.args,Create vm.args with scheduler/process/port limits per DESIGN.md,P0-001,P2,impl,config/vm.args,Release starts with correct VM params
P1-001,1,CLIPS Port,CLIPS C bridge,Implement clips_bridge.c wrapping CLIPS 6.4 API (CreateEnvironment/Assert/Run/etc),-,P0,impl,apps/clips_port/src/clips_bridge.c,Compiles and links against CLIPS library
P1-002,1,CLIPS Port,Port protocol,Implement main.c with stdin/stdout line-delimited JSON protocol,P1-001,P0,impl,apps/clips_port/src/main.c,"Accepts {op:assert/run/retract/query} JSON, returns results"
P1-003,1,CLIPS Port,Port Makefile,Create Makefile to compile CLIPS port binary,P1-001,P0,impl,apps/clips_port/Makefile,make produces clips_port binary
P1-004,1,CLIPS Port,clips_engine gen_server,Implement clips_engine.erl wrapping Port with gen_server,P1-002,P0,impl,src/conductor/clips_engine.erl,"assert/retract/run/query/reset work through Port, crash restarts"
P1-005,1,CLIPS Port,clips_engine tests,Unit tests for clips_engine assert/retract/run/query lifecycle,P1-004,P0,test,test/clips_engine_tests.erl,All basic ops pass
T1-001,1,Tests Phase 1,CLIPS fact templates,Write templates.clp with all deftemplate from DESIGN.md,P1-004,P0,impl,priv/clips/templates.clp,All 10 templates load without error
T1-002,1,Tests Phase 1,Selection rules,Write selection.clp with exclusion/scoring/affinity/final-select rules,T1-001,P0,impl,priv/clips/selection.clp,Rules parse and load
T1-003,1,Tests Phase 1,Cooldown rules,Write cooldown.clp with mark-success/mark-rate-limited/mark-unauthorized,T1-001,P0,impl,priv/clips/cooldown.clp,Rules parse and load
T1-004,1,Tests Phase 1,Thinking rules,Write thinking.clp with clamp/convert/emit rules,T1-001,P0,impl,priv/clips/thinking.clp,Rules parse and load
T1-005,1,Tests Phase 1,Quota rules,Write quota.clp with quota-exceeded-switch-project rule,T1-001,P1,impl,priv/clips/quota.clp,Rules parse and load
T1-006,1,Tests Phase 1,Selection test: fill-first,Test fill_first_deterministic and priority_fallback_cooldown,T1-002,P0,test,test/clips_selection_tests.erl,2 cases pass
T1-007,1,Tests Phase 1,Selection test: round-robin,Test round_robin_cycles and priority_buckets,T1-002,P0,test,test/clips_selection_tests.erl,2 cases pass
T1-008,1,Tests Phase 1,Selection test: session affinity,Test session_affinity_prefers_bound_credential,T1-002,P0,test,test/clips_selection_tests.erl,1 case passes
T1-009,1,Tests Phase 1,Selection test: exclusions,Test exclude_disabled/exclude_no_websocket/all_cooldown_returns_error,T1-002,P0,test,test/clips_selection_tests.erl,3 cases pass
T1-010,1,Tests Phase 1,Cooldown test: mark_success,Test mark_success_clears_cooldown,T1-003,P0,test,test/clips_cooldown_tests.erl,1 case passes
T1-011,1,Tests Phase 1,Cooldown test: backoff,Test mark_429_exponential_backoff,T1-003,P0,test,test/clips_cooldown_tests.erl,1 case passes
T1-012,1,Tests Phase 1,Cooldown test: auth hold,Test mark_401_30min_hold,T1-003,P0,test,test/clips_cooldown_tests.erl,1 case passes
T1-013,1,Tests Phase 1,Thinking test: model defs,Create thinking_test_models.erl with 10 model definitions,T1-004,P0,test,test/thinking_test_models.erl,Module compiles with correct specs
T1-014,1,Tests Phase 1,Thinking test: suffix matrix,Port 57 suffix-based thinking conversion cases,T1-013,P0,test,test/thinking_conversion_tests.erl,57 cases pass
T1-015,1,Tests Phase 1,Thinking test: body matrix,Port 38 body-parameter thinking conversion cases,T1-013,P0,test,test/thinking_conversion_tests.erl,38 cases pass (total 95)
T2-001,2,Tests Phase 2,Translator behaviour,Define translator.erl behaviour with request/response_stream/response_nonstream/init_acc callbacks,P0-001,P0,impl,src/translator/translator.erl,Behaviour compiles
